동아리명,동아리번호,동아리 특색 해시태그
KURP,1,#세미나 #강연회 #토론
고란도란,2,#토론 #논쟁 #화합
불교학생회,3,#법회 #불교행사 #친목
KULAX,4,#운동 #팀스포츠 #리그
아마추어축구부,5,"#유일무이축구중앙동아리, #축구"
고대바둑사랑,6,#바둑 #대회 #교류전 #리그전
KUBT,7,#자덕 #자율 #힐링 
KUCC,8,"#컴퓨터,#코딩,#개발"
유스호스텔,9,#여행 #추억 #MT
고고쉼,10,"#고양이, #동물권, #봉사"
원불교학생회,11,"#마음공부, #명상, #mindfulness"
SFC,12,"#학생신앙운동, #신앙고백공동체, #나눔"
CCC,13,#CCC #기독교동아리 #서울북CCC #사랑 #크리스천
뇌의주름,14,#보드게임 #취미 
ENM,15,"#기독교, #제자훈련, #세계선교"
돌빛,16,#영화#드라마#예술
고집,17,"#집고치기, #건축봉사, #해비타트"
수호회,18,"#Sports, #체육분과, #수영하는 호랑이, "
고전기타부,19,#클래식기타 #고기부잡으로줌으로갈까요(랜선회식) #정기연주회
KUSEP,21,#환경보호 #환경캠페인 #환경동아리
KUBC,22,"#배드민턴, #운동, #사랑"
FC엘리제,23,#아마추어 #여자축구부 #fc엘리제
고려대학교 관현악단,24,"#아마추어오케스트라, #고대음대, #연주회"
노래얼,25,#밴드 #공연 #친목
백구회,26,"#야구, #근본, #OneTeamOneSpirit"
농구연합회,28,#basketball #team sports #뒷풀이 냠냠
한일문화연구회,29,#서브컬쳐 #JLPT #소모임
그루터기,30,#통기타 #어쿠스틱 밴드 #오디션 없음
운화회,32,#반디공부방 #교육봉사 #52년 전통
한량회,33,#국궁 #활 #전통무예
택견한울,34,#고려대택견 #호신술 #운동
한국화회,35,#붓과 먹 #도란도란 #힐링
TTP,36,#피아노 #연주회 #친목활동
소믈리에,37,#와인 #페어링 #테이스팅
호영회,38,#카메라 #사진 #출사
크림슨,39,"#중앙락밴드, #열정적인, #화목한"
고려대학교 관악부,40,#금관악기 #목관악기 #타악기 #앙상블
ATP,41,#음악 #버스킹 #가족같은
고대농악대,42,#이런거 #살면서언제 #해보겠어
JASS,43,#감상모임 #합주 #째애즈에_칵테일_한_잔
서화회,44,#서예 #서양화 #예술혼
궁도회,45,#양궁 #고대양궁 #궁도회 #체육분과 #고려대학교 #고려대학교양궁동아리
캘리쿠,46,#손글씨 #예쁜글귀 #엽서
팝콘,47,"#광고, #아이디어, #마케팅"
거의격월간몰라도되는데,48,#기획 및 제작(창작) #판매
그림마당,49,#만화 #그림 #초심자도 괜찮아요
호우회,50,# 화목한분위기 #현충원봉사 #멘토링 #실버복지
LoGS,51,#아카펠라 #Acappella #음악
열두루달,52,#생태탐사 #자연 #생물
ALC,53,"#영어회화, #연대연합"
고려대학교 합창단,54,#합창 #화음 #친목
한국사회연구회,55,#세미나 #기행 #쉼표
ECS,56,#영어회화#친목#연극
중국연구회,57,#중국어 #한자 #동아시아
예술비평연구회,58,#예술 #친목 #가입제한없음
뉴런,59,#코로나?_어림도없지#물음표살인마도_환영하는#닫을문도없는_열린뇌과학학회!
불아스,60,#댄스스포츠 #누구나출수있다 #최고급동방
한국근현대사연구회,61,"#사회, #독서, #대화"
TERRA,62,"#힙합, #R&B, #공연"
국악연구회,63,"#국악, #공연"
미스디렉션,64,"#마술, #공연, #친목"
UNSA,65,"#국제 이슈, #토론, #유엔"
KUDT,66,#춤#스트릿댄스#공연
극예술연구회,67,#연극 #공연 #이무대의주인공은당신
수레바퀴,68,#사회문제 #사회과학학회 #연대활동 
IVF,69,"#기독교동아리, #복음주의, #누구나함께"
로타랙트,70,# 알찬봉사 # 다양한 프로그램
젊은예수,71,"#유대감, #신앙, #여유"
평화나비,73,#일본군'위안부' #평화 #인권
예수전도단,74,#사랑이넘치는 #가족 #흘러가는사랑 #열방을품다
KURC,75,"#봉사, #친목, #자율참여"
호진회,76,# 영화 # 이야기
KUSA,77,#사회분과#봉사#KUSA
소울메이트,78,"#순수_창작_뮤지컬, #대학의_로망, #좋아서_하는_개고생"
JOY,79,"#기독교, #말씀짝, #성경스케치"
ENTHES,80,#친목 #운동 #활기참
탁구사랑회,81,#탁구 #sports #상시모집
고풋,82,"#고풋, #풋살, #futsal"
LECA,93,#친목 #경험 #문화
사람과 사람,84,"#퀴어, #성소수자, #인권"
철학마을,85,#학문 #철학 #사색
고대문학회,86,#문학 #예술 #S급동방
