동아리,동아리번호
JASS,1
TTP,2
고대농악대,3
고전기타부,4
고려대학교 관악부,5
고려대학교 관현악단,6
국악연구회,7
그루터기,8
노래얼,9
크림슨,10
ATP,11
KURC,12
KUSA,13
KUSEP,14
고집,15
로타랙트,16
운화회,17
호우회,18
고고쉼,19
KUCC,21
고대바둑사랑,22
뇌의주름,23
소믈리에,24
유스호스텔,25
호진회,26
ALC,28
ECS,29
LECA,30
중국연구회,32
한일문화연구회,33
KUDT,34
LoGS,35
TERRA,36
극예술연구회,37
미스디렉션,38
불아스,39
소울메이트,40
고려대학교 합창단,41
KURP,42
UNSA,43
고대문학회,44
고란도란,45
뉴런,46
사람과 사람,47
수레바퀴,48
열두루달,49
예술비평연구회,50
철학마을,51
평화나비,52
한국근현대사연구회,53
한국사회연구회,54
거의격월간몰라도되는데,55
그림마당,56
돌빛,57
서화회,58
캘리쿠,59
팝콘,60
한국화회,61
호영회,62
CCC,63
ENM,64
IVF,65
JOY,66
SFC,67
불교학생회,68
예수전도단,69
원불교학생회,70
젊은예수,71
ENTHES,73
FC엘리제,74
KUBC,75
KUBT,76
KULAX,77
고풋,78
궁도회,79
농구연구회,80
백구회,81
수호회,82
아마추어축구부,93
탁구사랑회,84
택견한울,85
한량회,86
